service,num_architectures,degree,pagerank,degree_centrality,betweenness,closeness,eigenvector,centralidad_score,nivel
ALB,32,19,0.11081634319918808,0.28358208955223885,0.03712783670044706,0.8151515151515153,0.13972586494026762,0.2140400239440972,Especializado
ElastiCache,31,18,0.11654671206594545,0.26865671641791045,0.015207729721934531,0.7831149927219797,0.15712745321480567,0.20705035592306698,Especializado
Route53,19,16,0.07678401724337688,0.23880597014925375,0.05650458198408433,0.8936877076411961,0.09459000152337693,0.19759488509976952,Especializado
Fargate,23,15,0.08330148238198606,0.22388059701492538,0.004195235785361249,0.8151515151515153,0.132820057471564,0.18323780126128555,Especializado
ELB,32,14,0.10036482486382864,0.208955223880597,0.014552224130471835,0.7359781121751027,0.15746704401834527,0.18247656607565427,Especializado
LambdaAtEdge,10,9,0.04585915047880212,0.13432835820895522,0.09625444105038221,0.9438596491228072,0.05760674682067379,0.16961769984133768,Especializado
QuickSight,15,11,0.053333058281816954,0.16417910447761197,0.03933033548776173,0.8406250000000001,0.06427995007258874,0.15861525321238873,Especializado
Cognito,18,9,0.06740053646547298,0.13432835820895522,0.054144761854818625,0.7430939226519339,0.1152291072888152,0.1562249612213601,Especializado
CodePipeline,7,6,0.05149333956498961,0.08955223880597014,0.12541132975864286,0.8733766233766235,0.022753796598902035,0.15366905935021563,Especializado
Neptune,7,6,0.030362225408458433,0.08955223880597014,0.10119695321001086,0.9607142857142859,0.03366802261468996,0.15285774992966433,Especializado
Comprehend,13,9,0.050697533542574495,0.13432835820895522,0.02810807976192037,0.8848684210526316,0.06542764121706367,0.15271395385521794,Especializado
ECR,18,10,0.055831546727106,0.1492537313432836,0.022470731675341193,0.8114630467571645,0.0760392722481723,0.15110923870196324,Especializado
DMS,10,9,0.041381355699785044,0.13432835820895522,0.02989105497069891,0.8981636060100169,0.046972055812589196,0.14883687622920416,Especializado
KMS,11,7,0.03996364912641062,0.1044776119402985,0.06269255476749219,0.8663446054750403,0.05954829620802315,0.14621371365520375,Especializado
IAM,11,7,0.03702323550668293,0.1044776119402985,0.0448665484259438,0.9228130360205833,0.03894885018497923,0.14432331445207347,Especializado
IoTCore,13,7,0.043670063245464755,0.1044776119402985,0.023047576595828373,0.8367029548989114,0.06866199917152155,0.1377995326434991,Especializado
EventBridge,17,7,0.04385964507311883,0.1044776119402985,0.020032250875099966,0.8367029548989114,0.06748153807690462,0.1370762728834571,Especializado
CloudTrail,8,5,0.029263953069031633,0.0746268656716418,0.07530448234723443,0.899665551839465,0.03030413373886216,0.13700897405284265,Especializado
GuardDuty,8,4,0.05703807007785343,0.05970149253731344,0.13372314065838983,0.7260458839406209,0.020707906088984734,0.13449219659677214,Especializado
MSK,12,7,0.03995805995288366,0.1044776119402985,0.010750291699988205,0.8594249201277956,0.04557027231439509,0.1330349121708762,Especializado
Transcribe,9,6,0.03748770685887945,0.08955223880597014,0.047983009295069295,0.8151515151515153,0.04017141723613423,0.1307718377187419,Especializado
FSX,6,3,0.02257738324391262,0.04477611940298507,0.10931585817855602,0.8790849673202615,0.014439570049401699,0.12990484869906768,Especializado
DirectConnect,9,4,0.030699802956087274,0.05970149253731344,0.02509275404119198,0.8213740458015267,0.03966691796985314,0.11724130710502359,Especializado
Translate,3,3,0.021617657537513584,0.04477611940298507,0.045164335251779715,0.8747967479674799,0.01835147824182843,0.11694459069537855,Especializado
Batch,4,3,0.021742929483353247,0.04477611940298507,0.057684492048717194,0.8432601880877745,0.01813787679090595,0.11630050743290903,Especializado
EFS,6,4,0.026561298203907287,0.05970149253731344,0.02674462813167797,0.8367029548989114,0.02775795330130893,0.11607667670692362,Especializado
Rekognition,11,6,0.04181592243877722,0.08955223880597014,0.003933033548776172,0.7060367454068243,0.05782614777444694,0.11499703984973042,Especializado
VPC,10,4,0.02816293293368743,0.05970149253731344,0.022942695701194334,0.8065967016491755,0.024418103050670735,0.11228517777719163,Especializado
KinesisAnalytics,5,3,0.022993461592385352,0.04477611940298507,0.020124021657904747,0.8419405320813773,0.022880573671063366,0.10974301191884006,Especializado
KinesisDataStream,6,3,0.022993461592385352,0.04477611940298507,0.020124021657904747,0.8419405320813773,0.022880573671063366,0.10974301191884006,Especializado
Amplify,4,3,0.022248459149232267,0.04477611940298507,0.02066153624290416,0.8445839874411304,0.019878362628986918,0.10944102798255785,Especializado
Pinpoint,5,3,0.022936361176668148,0.04477611940298507,0.01633519933925037,0.8276923076923078,0.022142910343604386,0.10743264539236824,Especializado
Connect,7,4,0.030919610230385728,0.05970149253731344,0.018878561034125625,0.7260458839406209,0.030633402372760243,0.10517656716024533,Especializado
Textract,4,3,0.023005743165644885,0.04477611940298507,0.0,0.8213740458015267,0.02296731296582468,0.10367825432546611,Especializado
VPN,6,3,0.022443113084048665,0.04477611940298507,0.008652673807307578,0.8090225563909775,0.020489163800284732,0.10363312874656284,Especializado
MediaConvert,5,3,0.023639915249533277,0.04477611940298507,0.0,0.8102409638554218,0.019613966542011863,0.1022521957924502,Especializado
ServiceCatalog,6,3,0.025165444087724934,0.04477611940298507,0.0,0.8114630467571645,0.014295851545619588,0.10203434548462315,Especializado
PrivateLink,6,3,0.023145604968067595,0.04477611940298507,0.0,0.7888563049853373,0.02191928800659046,0.10031123504068885,Especializado
BeanStalk,4,2,0.020214531621189878,0.02985074626865672,0.03356188628289,0.7808417997097243,0.012051857825155126,0.10013138195484486,Especializado
