source_service,target_service,interaction_count,out_degree_total,prob_transition
MAM,ApiGateway,1,1,1.0
FSX,SageMaker,1,29,0.0345
DynamoDB,Glue,1,496,0.002
MemoryDB,Fargate,1,1,1.0
UserCompanyDeveloper,VPN,1,182,0.0055
BeanStalk,UserCompanyAPI,1,31,0.0323
RDS,BeanStalk,1,263,0.0038
DynamoDB,Firehose,1,496,0.002
Batch,EC2,1,9,0.1111
Lex,OpenSearch,1,38,0.0263
Lex,ThirdParty,1,38,0.0263
UserConsumerAPI,NLB,1,141,0.0071
Lambda,NLB,1,2075,0.0005
UserConsumerWeb,EMR,1,388,0.0026
EBS,EventBridge,1,25,0.04
ApiGateway,Pinpoint,1,537,0.0019
ServiceCatalog,SageMaker,1,42,0.0238
LambdaAtEdge,ThirdParty,1,55,0.0182
KMS,UserConsumerAPI,1,41,0.0244
ECS,Fargate,1,363,0.0028
UserCompanyDataStream,ApiGateway,1,189,0.0053
ApiGateway,UserCompanyDataStream,1,537,0.0019
Aurora,Fargate,1,145,0.0069
AppSync,ThirdParty,1,73,0.0137
UserConsumerPOS,UserConsumerMobile,1,8,0.125
ThirdParty,UserConsumerPOS,1,862,0.0012
EKS,EMR,1,495,0.002
EKS,UserCompanyAgent,1,495,0.002
EFS,Glue,1,23,0.0435
Glue,EFS,1,229,0.0044
ServiceCatalog,EC2,1,42,0.0238
OnPremDC,UserConsumerTV,1,26,0.0385
KinesisDataStream,Firehose,1,37,0.027
UserCompanyEdge,Firehose,1,12,0.0833
EMR,Neptune,1,208,0.0048
UserCompanyAPI,BeanStalk,1,39,0.0256
UserConsumerSatellite,S3,1,6,0.1667
UserConsumerWebMobile,EKS,1,57,0.0175
Athena,EKS,1,207,0.0048
ThirdParty,FSX,1,862,0.0012
UserConsumerAlexaGoogleHome,Lex,1,3,0.3333
Comprehend,Lex,1,53,0.0189
EventBridge,EBS,1,82,0.0122
SageMaker,UserConsumerMobile,1,251,0.004
CloudFront,ShieldAdvanced,1,291,0.0034
