source_service,target_service,interaction_count,out_degree_total,prob_transition
SQS,BeanStalk,6,380,0.0158
Fargate,DynamoDB,6,184,0.0326
EC2,Fargate,6,1266,0.0047
Route53,ApiGateway,6,103,0.0583
RedShift,Glue,6,148,0.0405
IAM,SageMaker,6,39,0.1538
StepFunctions,Neptune,6,294,0.0204
EKS,CloudFront,6,495,0.0121
Fargate,OpenSearch,6,184,0.0326
Inspector,SecurityHub,6,6,1.0
StorageGateway,S3,6,16,0.375
EKS,SageMaker,6,495,0.0121
EC2,MSK,6,1266,0.0047
UserCompanyAnalyst,EC2,6,116,0.0517
UserConsumerCamera,EKS,6,10,0.6
IoTAnalytics,QuickSight,6,11,0.5455
Fargate,ECS,6,184,0.0326
UserCompanyAPI,Lambda,6,39,0.1538
ApiGateway,ThirdParty,6,537,0.0112
RDS,Kinesis,6,263,0.0228
QuickSight,Athena,6,42,0.1429
UserConsumerWeb,RedShift,6,388,0.0155
EC2,UserConsumerTV,6,1266,0.0047
Fargate,CloudWatch,6,184,0.0326
KinesisDataStream,Lambda,6,37,0.1622
KMS,EBS,6,41,0.1463
ApiGateway,EKS,6,537,0.0112
UserConsumerEdge,Greengrass,6,94,0.0638
CodeBuild,ECR,6,22,0.2727
S3,LambdaAtEdge,6,1551,0.0039
Lambda,EventBridge,6,2075,0.0029
Fargate,ALB,6,184,0.0326
CloudWatch,Firehose,6,202,0.0297
MSK,EMR,6,68,0.0882
StepFunctions,WorkSpaces,6,294,0.0204
ECS,SNS,6,363,0.0165
ThirdParty,ALB,6,862,0.007
UserCompanyDataStream,Kinesis,6,189,0.0317
Glue,DynamoDB,6,229,0.0262
Greengrass,IoTCore,6,8,0.75
LambdaAtEdge,Firehose,6,55,0.1091
Aurora,SageMaker,6,145,0.0414
CodePipeline,Lambda,6,41,0.1463
ECR,CodeBuild,6,66,0.0909
EKS,ECR,6,495,0.0121
ALB,Fargate,6,204,0.0294
UserCompanyDeveloper,Lambda,6,182,0.033
IoTCore,IoTAnalytics,6,81,0.0741
ELB,ThirdParty,6,226,0.0265
S3,KMS,6,1551,0.0039
EMR,EC2,6,208,0.0288
Lambda,EMR,6,2075,0.0029
EC2,UserCompanyAnalyst,6,1266,0.0047
Firehose,Lambda,6,148,0.0405
S3,MSK,6,1551,0.0039
Timestream,Grafana,5,6,0.8333
UserConsumerWeb,Lambda,5,388,0.0129
Comprehend,Polly,5,53,0.0943
IoTAnalytics,UserConsumerWeb,5,11,0.4545
ThirdParty,Neptune,5,862,0.0058
UserConsumerAPI,EC2,5,141,0.0355
DirectConnect,UserCompanyDataStream,5,33,0.1515
UserCompanyAnalyst,LakeFormation,5,116,0.0431
UserConsumerAPI,ServiceCatalog,5,141,0.0355
EMR,DynamoDB,5,208,0.024
ECR,ControlTower,5,66,0.0758
