service_a,service_b,cooc_frequency,jaccard_similarity
RDS,VPN,1,0.0135
ApiGateway,Kendra,1,0.011
DynamoDB,Kendra,1,0.0088
Kendra,Lambda,1,0.0049
Kendra,S3,1,0.0043
Glue,IoTCore,1,0.0217
Lambda,TransferFamily,1,0.0049
Rekognition,TransferFamily,1,0.0833
ELB,NLB,1,0.0263
ApiGateway,DocumentDB,1,0.0109
CloudFront,DocumentDB,1,0.0238
CloudWatch,DocumentDB,1,0.0256
CloudWatch,Route53,1,0.0179
DocumentDB,Fargate,1,0.0417
DocumentDB,OpenSearch,1,0.0294
DocumentDB,RDS,1,0.0143
DocumentDB,Route53,1,0.05
CloudWatch,KMS,1,0.0208
CloudWatch,PrivateLink,1,0.0233
KMS,PrivateLink,1,0.0625
PrivateLink,SQS,1,0.0139
EC2,SES,1,0.0075
EKS,SES,1,0.0172
EMR,IAM,1,0.0278
EMR,SES,1,0.0357
Glue,SES,1,0.0278
IAM,SES,1,0.0769
SES,SQS,1,0.0145
EMR,EventBridge,1,0.0238
EMR,Fargate,1,0.0208
EventBridge,Kinesis,1,0.0189
Batch,ECR,1,0.0476
Batch,ECS,1,0.0204
Batch,Firehose,1,0.0303
Batch,SNS,1,0.0204
Batch,Transcribe,1,0.0833
ECR,Firehose,1,0.0213
ECR,Transcribe,1,0.0385
ECS,Transcribe,1,0.0185
SNS,Transcribe,1,0.0185
ELB,Fargate,1,0.0185
ControlTower,ECR,1,0.0455
ControlTower,RDS,1,0.0137
ECR,TransitGateway,1,0.0455
CloudFormation,SNS,1,0.0159
AutoScaling,Cognito,1,0.0476
AutoScaling,DynamoDB,1,0.0085
AutoScaling,IoTCore,1,0.0625
AutoScaling,RDS,1,0.0139
AutoScaling,S3,1,0.0043
AutoScaling,SNS,1,0.0204
Cognito,IAM,1,0.0357
IAM,IoTCore,1,0.0435
IAM,SNS,1,0.0179
ApiGateway,DirectConnect,1,0.0101
DirectConnect,ECS,1,0.0185
Aurora,EBS,1,0.0233
EBS,EFS,1,0.0833
ApiGateway,Timestream,1,0.0109
Cognito,Timestream,1,0.0526
Greengrass,SQS,1,0.0147
Greengrass,Timestream,1,0.3333
IoTCore,SQS,1,0.0127
IoTCore,Timestream,1,0.0714
SQS,Timestream,1,0.0147
ECS,KMS,1,0.0179
EKS,Fargate,1,0.0128
EKS,KMS,1,0.0152
Fargate,KMS,1,0.0303
ApiGateway,NAT,1,0.011
EC2,NAT,1,0.0076
ELB,KMS,1,0.0238
ELB,NAT,1,0.0312
ELB,SystemsManager,1,0.0278
KMS,NAT,1,0.0909
KMS,SystemsManager,1,0.0667
Lambda,NAT,1,0.0049
NAT,SystemsManager,1,0.2
ECS,RedShift,1,0.0135
AppSync,EC2,1,0.0072
AppSync,ELB,1,0.025
AppSync,OpenSearch,1,0.0244
AppSync,Route53,1,0.037
Cognito,ELB,1,0.0204
Cognito,OpenSearch,1,0.02
Cognito,Route53,1,0.0278
LakeFormation,QuickSight,1,0.0588
CloudWatch,EBS,1,0.0227
CloudWatch,IAM,1,0.0208
EBS,RDS,1,0.0133
ELB,IAM,1,0.0238
Comprehend,Kinesis,1,0.0204
Connect,Kinesis,1,0.0233
Connect,Translate,1,0.1111
Kinesis,Transcribe,1,0.0222
Kinesis,Translate,1,0.0256
AppSync,Firehose,1,0.0263
AppSync,KinesisDataStream,1,0.0714
Cognito,KinesisDataStream,1,0.0435
Firehose,KinesisDataStream,1,0.0286
Athena,GuardDuty,1,0.0204
CloudTrail,WAF,1,0.0455
EMR,GuardDuty,1,0.0303
EMR,SNS,1,0.0141
EMR,WAF,1,0.025
GuardDuty,WAF,1,0.0455
NLB,Route53,1,0.04
MediaConvert,SageMaker,1,0.0233
